#
# Class "hotel_db#client"
#
@w4hotelClientNumber|w4hotelClientTitle|w4hotelClientName|w4hotelClientFirstname|w4hotelClientAddress|w4hotelClientTels
1000|0|Deschamps|Mathieu|1011|~06 31 11 34 44~
1001|0|Deschamps|Paul|1012|~06 80 55 66 61~
1002|2|Crespin|Marie|1013|~06 71 82 49 84~
1003|0|Durand|Yann|1014|~06 87 88 83 30~
1004|0|Bousquet|Etienne|1015|~06 84 15 40 52~
1005|1|Testa|Julie|1016|~06 72 70 81 68~
1006|2|Moulié|Laure|1017|~06 96 59 67 72~
1007|2|Deschamps|Christine|1018|~06 96 96 43 18~
1008|0|Mermod|Nicolas|1019|~06 63 88 96 65~
1009|1|Miravet|Sara|1020|~06 81 95 51 66~
1010|2|Deschamps|Brigitte|1021|~06 11 25 84 98~
1011|0|Mermod|Etienne|1022|~06 78 39 53 62~
1012|0|Testa|Gilles|1023|~06 53 35 99 75~
1013|2|Tracou|Laure|1024|~06 83 97 76 43~
1014|0|Verdier|Nicolas|1025|~06 60 25 62 20~
1015|1|Tracou|Véronique|1026|~06 12 87 16 48~
1016|0|Duteil|Hervé|1027|~06 77 10 89 95~
1017|0|Hernandez|Hervé|1028|~06 40 69 26 81~
1018|0|Tracou|Nicolas|1029|~06 70 26 66 54~
1019|0|Xambo|Arnaud|1030|~06 94 94 41 30~
1020|0|Mermod|Etienne|1031|~06 25 89 89 20~
1021|2|Delalande|Muriel|1032|~06 50 56 80 30~
1022|1|Miravet|Christelle|1033|~06 48 92 63 63~
1023|2|Deschamps|Caroline|1034|~06 95 95 43 29~
1024|2|Crespin|Marie|1035|~06 51 17 65 69~
1025|1|Miravet|Véronique|1036|~06 24 92 13 27~
1026|1|Mermod|Véronique|1037|~06 84 31 38 64~
1027|2|Dutilleul|Brigitte|1038|~06 59 94 20 61~
1028|0|Durand|Serge|1039|~06 58 34 13 43~
1029|1|Xambo|Julie|1040|~06 84 65 37 58~
1030|0|Crespin|Hervé|1041|~06 56 64 71 26~
1031|0|Bousquet|Mathieu|1042|~06 24 82 15 69~
1032|0|Duteil|Alexandre|1043|~06 83 37 34 92~
1033|2|Bousquet|Caroline|1044|~06 31 95 75 33~
1034|2|Testa|Marie|1045|~06 88 26 75 27~
1035|1|Mayer|Isabelle|1046|~06 96 86 88 57~
1036|2|Hernandez|Marie|1047|~06 98 37 27 98~
1037|1|Dutilleul|Véronique|1048|~06 76 44 48 68~
1038|2|Spinardi|Christine|1049|~06 51 41 79 43~
1039|2|Xambo|Brigitte|1050|~06 44 52 51 24~
1040|0|Verdier|Serge|1051|~06 15 55 48 16~
1041|1|Mayer|Sara|1052|~06 15 31 92 99~
